Stt,Tỉnh mới,Gộp từ các tỉnh cũ,Phường/xã mới,Sát nhập từ các Phường/xã trước
1808,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Phường Phước Hội,"Phường Phước Lộc, Phường Phước Hội, Xã Tân Phước"
1809,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Phường Quảng Hòa,Quảng Hòa
1810,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Quảng Khê,"Xã Đắk Plao, Xã Quảng Khê"
1811,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Quảng Lập,"Xã Ka Đơn, Xã Quảng Lập"
1812,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Quảng Phú,"Xã Đức Xuyên, Xã Đắk Nang, Xã Quảng Phú"
1813,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Phường Quảng Sơn,Quảng Sơn
1814,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Quảng Tân,"Xã Đắk Ngo, Xã Quảng Tân"
1815,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Quảng Tín,"Xã Đắk Sin, Xã Hưng Bình, Xã Đắk Ru, Xã Quảng Tín"
1816,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Phường Quảng Trực,Quảng Trực
1817,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Sông Lũy,"Xã Phan Tiến, Xã Bình Tân, Xã Sông Lũy"
1818,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Sơn Điền,"Xã Gia Bắc, Xã Sơn Điền"
1819,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Sơn Mỹ,"Xã Tân Thắng, Xã Thắng Hải, Xã Sơn Mỹ"
1820,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Suối Kiết,"Xã Gia Huynh, Xã Suối Kiết"
1821,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tà Đùng,"Xã Đắk Som, Xã Đắk R’Măng"
1822,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tà Hine,"Xã Ninh Loan, Xã Đà Loan, Xã Tà Hine"
1823,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tà Năng,"Xã Đa Quyn, Xã Tà Năng"
1824,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tánh Linh,"Thị trấn Lạc Tánh, Xã Gia An, Xã Đức Thuận"
1825,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tân Hà Lâm Hà,"Xã Tân Hà (huyện Lâm Hà), Xã Hoài Đức, Xã Đan Phượng, Xã Liên Hà"
1826,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tân Hải,"Xã Tân Tiến, Xã Tân Hải"
1827,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tân Hội,"Xã Tân Thành (huyện Đức Trọng), Xã N’ Thôn Hạ, Xã Tân Hội"
1828,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tân Lập,"Xã Sông Phan, Xã Tân Lập"
1829,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tân Minh,"Thị trấn Tân Minh, Xã Tân Đức, Xã Tân Phúc"
1830,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tân Thành,"Xã Tân Thành (huyện Hàm Thuận Nam), Xã Thuận Quý, Xã Tân Thuận"
1831,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Thuận An,"Xã Đắk Lao, Xã Thuận An"
1832,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Thuận Hạnh,"Xã Thuận Hà, Xã Thuận Hạnh"
1833,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Phường Tiến Thành,"Phường Đức Long, Xã Tiến Thành"
1834,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Trà Tân,"Xã Tân Hà (huyện Đức Linh), Xã Đông Hà, Xã Trà Tân"
1835,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Trường Xuân,"Xã Nâm N’Jang, Xã Trường Xuân"
1836,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tuy Đức,"Xã Quảng Tâm, Xã Đắk R’Tíh, Xã Đắk Búk So"
1837,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tuy Phong,"Xã Phan Dũng, Xã Phong Phú"
1838,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Tuyên Quang,"Xã Tiến Lợi, Xã Hàm Mỹ"
1839,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Vĩnh Hảo,"Xã Vĩnh Tân, Xã Vĩnh Hảo"
1840,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Phường Xuân Hương - Đà Lạt,"Phường 1 (thành phố Đà Lạt), Phường 2 (thành phố Đà Lạt), Phường 3,
Phường 4, Phường 10"
1841,Lâm Đồng,"Lâm Đồng, Đắk Nông, Bình Thuận",Xã Xuân Trường - Đà Lạt,"Phường 11, Xã Xuân Thọ, Xã Xuân Trường, Xã Trạm Hành"
1842,Nghệ An,Nghệ An,Xã An Châu,"Xã Diễn An, Xã Diễn Tân, Xã Diễn Thịnh, Xã Diễn Trung"
1843,Nghệ An,Nghệ An,Xã Anh Sơn,"Thị trấn Kim Nhan, Xã Đức Sơn, Xã Phúc Sơn"
1844,Nghệ An,Nghệ An,Xã Anh Sơn Đông,"Xã Lạng Sơn, Xã Tào Sơn, Xã Vĩnh Sơn"
1845,Nghệ An,Nghệ An,Xã Bạch Hà,"Xã Đại Sơn, Xã Hiến Sơn, Xã Mỹ Sơn, Xã Trù Sơn"
1846,Nghệ An,Nghệ An,Xã Bạch Ngọc,"Xã Bồi Sơn, Xã Giang Sơn Đông, Xã Giang Sơn Tây, Xã Bạch Ngọc"
1847,Nghệ An,Nghệ An,Phường Bắc Lý,Bắc Lý
1848,Nghệ An,Nghệ An,Xã Bích Hào,"Xã Mai Giang, Xã Thanh Lâm, Xã Thanh Tùng, Xã Thanh Xuân"
1849,Nghệ An,Nghệ An,Phường Bình Chuẩn,Bình Chuẩn
1850,Nghệ An,Nghệ An,Xã Bình Minh,"Xã Đức Thành, Xã Mã Thành, Xã Tân Thành, Xã Tiến Thành"
1851,Nghệ An,Nghệ An,Xã Cam Phục,"Xã Cam Lâm, Xã Đôn Phục"
1852,Nghệ An,Nghệ An,Xã Cát Ngạn,"Xã Minh Sơn (huyện Thanh Chương), Xã Cát Văn, Xã Phong Thịnh"
1853,Nghệ An,Nghệ An,Phường Châu Bình,Châu Bình
1854,Nghệ An,Nghệ An,Xã Châu Hồng,"Xã Châu Tiến (huyện Quỳ Hợp), Xã Châu Thành, Xã Châu Hồng"
1855,Nghệ An,Nghệ An,Xã Châu Khê,"Xã Lạng Khê, Xã Châu Khê"
1856,Nghệ An,Nghệ An,Xã Châu Lộc,"Xã Liên Hợp, Xã Châu Lộc"
1857,Nghệ An,Nghệ An,Xã Châu Tiến,"Xã Châu Tiến (huyện Quỳ Châu), Xã Châu Bính, Xã Châu Thắng, Xã Châu Thuận"
1858,Nghệ An,Nghệ An,Xã Chiêu Lưu,"Xã Bảo Thắng, Xã Chiêu Lưu"
1859,Nghệ An,Nghệ An,Xã Con Cuông,"Thị trấn Trà Lân, Xã Chi Khê, Xã Yên Khê"
1860,Nghệ An,Nghệ An,Phường Cửa Lò,"Phường Nghi Hải, Phường Nghi Hòa, Phường Nghi Hương, Phường Nghi
Tân, Phường Nghi Thu, Phường Nghi Thủy, Xã Thu Thủy"
1861,Nghệ An,Nghệ An,Xã Diễn Châu,"Thị trấn Diễn Thành, Xã Diễn Hoa, Xã Diễn Phúc, Xã Ngọc Bích"
1862,Nghệ An,Nghệ An,Xã Đại Đồng,"Thị trấn Dùng, Xã Đồng Văn (huyện Thanh Chương), Xã Thanh Ngọc, Xã
Thanh Phong, Xã Đại Đồng"
1863,Nghệ An,Nghệ An,Xã Đại Huệ,"Xã Nam Anh, Xã Nam Lĩnh, Xã Nam Xuân"
1864,Nghệ An,Nghệ An,Xã Đô Lương,"Xã Bắc Sơn, Xã Nam Sơn (huyện Đô Lương), Xã Đà Sơn, Xã Đặng Sơn, Xã
Lưu Sơn, Xã Thịnh Sơn, Xã Văn Sơn, Xã Yên Sơn, Thị trấn Đô Lương"
1865,Nghệ An,Nghệ An,Xã Đông Hiếu,"Xã Nghĩa Mỹ, Xã Nghĩa Thuận, Xã Đông Hiếu"
1866,Nghệ An,Nghệ An,Xã Đông Lộc,"Xã Khánh Hợp, Xã Nghi Thạch, Xã Thịnh Trường"
1867,Nghệ An,Nghệ An,Xã Đông Thành,"Xã Đô Thành, Xã Phú Thành, Xã Thọ Thành"
1868,Nghệ An,Nghệ An,Xã Đức Châu,"Xã Diễn Hồng, Xã Diễn Kỷ, Xã Diễn Phong, Xã Diễn Vạn"
1869,Nghệ An,Nghệ An,Xã Giai Lạc,"Xã Hậu Thành, Xã Lăng Thành, Xã Phúc Thành"
1870,Nghệ An,Nghệ An,Xã Giai Xuân,"Xã Tân Hợp, Xã Giai Xuân"
1871,Nghệ An,Nghệ An,Xã Hải Châu,"Xã Diễn Hoàng, Xã Diễn Kim, Xã Diễn Mỹ, Xã Hùng Hải"
1872,Nghệ An,Nghệ An,Xã Hải Lộc,"Xã Nghi Thiết, Xã Nghi Tiến, Xã Nghi Yên"
1873,Nghệ An,Nghệ An,Xã Hạnh Lâm,"Xã Thanh Đức, Xã Hạnh Lâm"
1874,Nghệ An,Nghệ An,Xã Hoa Quân,"Xã Thanh An, Xã Thanh Hương, Xã Thanh Quả, Xã Thanh Thịnh"
1875,Nghệ An,Nghệ An,Xã Hoàng Mai,"Phường Quỳnh Thiện, Xã Quỳnh Trang, Xã Quỳnh Vinh"
1876,Nghệ An,Nghệ An,Xã Hợp Minh,"Xã Bảo Thành, Xã Long Thành, Xã Sơn Thành, Xã Viên Thành, Xã Vĩnh
Thành"
1877,Nghệ An,Nghệ An,Xã Hùng Chân,"Xã Châu Hoàn, Xã Châu Phong, Xã Diên Lãm"
1878,Nghệ An,Nghệ An,Xã Hùng Châu,"Xã Diễn Đoài, Xã Diễn Lâm, Xã Diễn Trường, Xã Diễn Yên"
1879,Nghệ An,Nghệ An,Phường Huồi Tụ,Huồi Tụ
1880,Nghệ An,Nghệ An,Xã Hưng Nguyên,"Thị trấn Hưng Nguyên, Xã Hưng Đạo, Xã Hưng Tây, Xã Thịnh Mỹ"
1881,Nghệ An,Nghệ An,Xã Hưng Nguyên Nam,"Xã Hưng Lĩnh, Xã Long Xá, Xã Thông Tân, Xã Xuân Lam"
1882,Nghệ An,Nghệ An,Phường Hữu Khuông,Hữu Khuông
1883,Nghệ An,Nghệ An,Xã Hữu Kiệm,"Xã Bảo Nam, Xã Hữu Lập, Xã Hữu Kiệm"
1884,Nghệ An,Nghệ An,Phường Keng Đu,Keng Đu
1885,Nghệ An,Nghệ An,Xã Kim Bảng,"Xã Thanh Hà, Xã Thanh Thủy, Xã Kim Bảng"
1886,Nghệ An,Nghệ An,Xã Kim Liên,"Xã Hùng Tiến, Xã Nam Cát, Xã Nam Giang, Xã Xuân Hồng, Xã Kim Liên"
1887,Nghệ An,Nghệ An,Xã Lam Thành,"Xã Châu Nhân, Xã Hưng Nghĩa, Xã Hưng Thành, Xã Phúc Lợi"
1888,Nghệ An,Nghệ An,Phường Lượng Minh,Lượng Minh
1889,Nghệ An,Nghệ An,Xã Lương Sơn,"Xã Bài Sơn, Xã Đông Sơn, Xã Hồng Sơn, Xã Tràng Sơn"
1890,Nghệ An,Nghệ An,Xã Mậu Thạch,"Xã Mậu Đức, Xã Thạch Ngàn"
1891,Nghệ An,Nghệ An,Xã Minh Châu,"Xã Diễn Cát, Xã Diễn Nguyên, Xã Hạnh Quảng, Xã Minh Châu"
1892,Nghệ An,Nghệ An,Xã Minh Hợp,"Xã Hạ Sơn, Xã Văn Lợi, Xã Minh Hợp"
1893,Nghệ An,Nghệ An,Xã Môn Sơn,"Xã Lục Dạ, Xã Môn Sơn"
1894,Nghệ An,Nghệ An,Xã Mường Chọng,"Xã Bắc Sơn, Xã Nam Sơn (huyện Quỳ Hợp), Xã Châu Lý"
1895,Nghệ An,Nghệ An,Xã Mường Ham,"Xã Châu Cường, Xã Châu Thái"
1896,Nghệ An,Nghệ An,Phường Mường Lống,Mường Lống
1897,Nghệ An,Nghệ An,Xã Mường Quàng,"Xã Cắm Muộn, Xã Châu Thôn, Xã Quang Phong"
1898,Nghệ An,Nghệ An,Xã Mường Típ,"Xã Mường Ải, Xã Mường Típ"
1899,Nghệ An,Nghệ An,Xã Mường Xén,"Thị trấn Mường Xén, Xã Tà Cạ, Xã Tây Sơn"
1900,Nghệ An,Nghệ An,Phường Mỹ Lý,Mỹ Lý
1901,Nghệ An,Nghệ An,Xã Na Loi,"Xã Đoọc Mạy, Xã Na Loi"
1902,Nghệ An,Nghệ An,Xã Na Ngoi,"Xã Nậm Càn, Xã Na Ngoi"
1903,Nghệ An,Nghệ An,Xã Nam Đàn,"Xã Nghĩa Thái (huyện Nam Đàn), Xã Nam Hưng, Xã Nam Thanh"
1904,Nghệ An,Nghệ An,Xã Nậm Cắn,"Xã Phà Đánh, Xã Nậm Cắn"
1905,Nghệ An,Nghệ An,Xã Nga My,"Xã Xiêng My, Xã Nga My"
1906,Nghệ An,Nghệ An,Xã Nghi Lộc,"Thị trấn Quán Hành, Xã Diên Hoa, Xã Nghi Trung, Xã Nghi Vạn"
1907,Nghệ An,Nghệ An,Xã Nghĩa Đàn,"Thị trấn Nghĩa Đàn, Xã Nghĩa Bình, Xã Nghĩa Trung"
1908,Nghệ An,Nghệ An,Xã Nghĩa Đồng,"Xã Bình Hợp, Xã Nghĩa Đồng"
1909,Nghệ An,Nghệ An,Xã Nghĩa Hành,"Xã Phú Sơn, Xã Tân Hương, Xã Nghĩa Hành"
1910,Nghệ An,Nghệ An,Xã Nghĩa Hưng,"Xã Nghĩa Thành, Xã Nghĩa Hưng"
1911,Nghệ An,Nghệ An,Xã Nghĩa Khánh,"Xã Nghĩa An, Xã Nghĩa Đức, Xã Nghĩa Khánh"
1912,Nghệ An,Nghệ An,Xã Nghĩa Lâm,"Xã Nghĩa Lạc, Xã Nghĩa Sơn, Xã Nghĩa Yên, Xã Nghĩa Lâm"
1913,Nghệ An,Nghệ An,Xã Nghĩa Lộc,"Xã Nghĩa Long, Xã Nghĩa Lộc"
1914,Nghệ An,Nghệ An,Xã Nghĩa Mai,"Xã Nghĩa Hồng, Xã Nghĩa Minh, Xã Nghĩa Mai"
1915,Nghệ An,Nghệ An,Xã Nghĩa Thọ,"Xã Nghĩa Hội, Xã Nghĩa Lợi, Xã Nghĩa Thọ"
1916,Nghệ An,Nghệ An,Xã Nhân Hòa,"Xã Cẩm Sơn, Xã Hùng Sơn, Xã Tam Đỉnh"
1917,Nghệ An,Nghệ An,Xã Nhôn Mai,"Xã Mai Sơn, Xã Nhôn Mai"
1918,Nghệ An,Nghệ An,Xã Phúc Lộc,"Xã Nghi Công Bắc, Xã Nghi Công Nam, Xã Nghi Lâm, Xã Nghi Mỹ"
1919,Nghệ An,Nghệ An,Xã Quan Thành,"Xã Bắc Thành, Xã Nam Thành, Xã Trung Thành, Xã Xuân Thành"
1920,Nghệ An,Nghệ An,Xã Quảng Châu,"Xã Diễn Đồng, Xã Diễn Liên, Xã Diễn Thái, Xã Xuân Tháp"
1921,Nghệ An,Nghệ An,Xã Quang Đồng,"Xã Đồng Thành, Xã Kim Thành, Xã Quang Thành"
1922,Nghệ An,Nghệ An,Xã Quế Phong,"Thị trấn Kim Sơn, Xã Châu Kim, Xã Mường Nọc, Xã Nậm Giải"
1923,Nghệ An,Nghệ An,Xã Quỳ Châu,"Thị trấn Tân Lạc, Xã Châu Hạnh, Xã Châu Hội, Xã Châu Nga"
1924,Nghệ An,Nghệ An,Xã Quỳ Hợp,"Thị trấn Quỳ Hợp, Xã Châu Đình, Xã Châu Quang, Xã Thọ Hợp"
1925,Nghệ An,Nghệ An,Xã Quỳnh Anh,"Xã Minh Lương, Xã Quỳnh Bảng, Xã Quỳnh Đôi, Xã Quỳnh Thanh, Xã
Quỳnh Yên"
1926,Nghệ An,Nghệ An,Xã Quỳnh Lưu,"Thị trấn Cầu Giát, Xã Bình Sơn (huyện Quỳnh Lưu), Xã Quỳnh Diễn, Xã
Quỳnh Giang, Xã Quỳnh Hậu"
1927,Nghệ An,Nghệ An,Phường Quỳnh Mai,"Phường Mai Hùng, Phường Quỳnh Phương, Phường Quỳnh Xuân, Xã Quỳnh
Liên"
1928,Nghệ An,Nghệ An,Xã Quỳnh Phú,"Xã An Hòa, Xã Phú Nghĩa, Xã Thuận Long, Xã Văn Hải"
1929,Nghệ An,Nghệ An,Xã Quỳnh Sơn,"Xã Ngọc Sơn (huyện Quỳnh Lưu), Xã Quỳnh Lâm, Xã Quỳnh Sơn"
1930,Nghệ An,Nghệ An,Xã Quỳnh Tam,"Xã Tân Sơn (huyện Quỳnh Lưu), Xã Quỳnh Châu, Xã Quỳnh Tam"
1931,Nghệ An,Nghệ An,Xã Quỳnh Thắng,"Xã Tân Thắng, Xã Quỳnh Thắng"
1932,Nghệ An,Nghệ An,Xã Quỳnh Văn,"Xã Quỳnh Tân, Xã Quỳnh Thạch, Xã Quỳnh Văn"
1933,Nghệ An,Nghệ An,Xã Sơn Lâm,"Xã Ngọc Lâm, Xã Thanh Sơn"
1934,Nghệ An,Nghệ An,Xã Tam Đồng,"Xã Thanh Liên, Xã Thanh Mỹ, Xã Thanh Tiên"
1935,Nghệ An,Nghệ An,Xã Tam Hợp,"Xã Tam Hợp (huyện Quỳ Hợp), Xã Đồng Hợp, Xã Nghĩa Xuân, Xã Yên Hợp"
1936,Nghệ An,Nghệ An,Xã Tam Quang,"Xã Tam Đình, Xã Tam Quang"
1937,Nghệ An,Nghệ An,Xã Tam Thái,"Xã Tam Hợp (huyện Tương Dương), Xã Tam Thái"
1938,Nghệ An,Nghệ An,Xã Tân An,"Xã Hương Sơn, Xã Nghĩa Phúc, Xã Tân An"
1939,Nghệ An,Nghệ An,Xã Tân Châu,"Xã Diễn Lộc, Xã Diễn Lợi, Xã Diễn Phú, Xã Diễn Thọ"
1940,Nghệ An,Nghệ An,Xã Tân Kỳ,"Thị trấn Tân Kỳ, Xã Nghĩa Dũng, Xã Kỳ Tân, Xã Kỳ Sơn"
1941,Nghệ An,Nghệ An,Xã Tân Mai,"Phường Quỳnh Dị, Xã Quỳnh Lập, Xã Quỳnh Lộc"
1942,Nghệ An,Nghệ An,Xã Tân Phú,"Xã Nghĩa Thái (huyện Tân Kỳ), Xã Hoàn Long, Xã Tân Xuân, Xã Tân Phú"
1943,Nghệ An,Nghệ An,Xã Tây Hiếu,"Phường Quang Tiến, Xã Nghĩa Tiến, Xã Tây Hiếu"
1944,Nghệ An,Nghệ An,Phường Thái Hòa,"Phường Hòa Hiếu, Phường Long Sơn, Phường Quang Phong"
1945,Nghệ An,Nghệ An,Xã Thành Bình Thọ,"Xã Bình Sơn (huyện Anh Sơn), Xã Thành Sơn, Xã Thọ Sơn"
1946,Nghệ An,Nghệ An,Phường Thành Vinh,"Phường Cửa Nam, Phường Đông Vĩnh, Phường Hưng Bình, Phường Lê Lợi,
Phường Quang Trung, Xã Hưng Chính"
1947,Nghệ An,Nghệ An,Xã Thần Lĩnh,"Xã Nghi Đồng, Xã Nghi Hưng, Xã Nghi Phương"
1948,Nghệ An,Nghệ An,Xã Thiên Nhẫn,"Xã Khánh Sơn, Xã Nam Kim, Xã Trung Phúc Cường"
1949,Nghệ An,Nghệ An,Xã Thông Thụ,"Xã Đồng Văn (huyện Quế Phong), Xã Thông Thụ"
1950,Nghệ An,Nghệ An,Xã Thuần Trung,"Xã Minh Sơn (huyện Đô Lương), Xã Lạc Sơn, Xã Nhân Sơn, Xã Thuận Sơn,
Xã Trung Sơn, Xã Xuân Sơn"
1951,Nghệ An,Nghệ An,Xã Tiên Đồng,"Xã Đồng Văn (huyện Tân Kỳ), Xã Tiên Kỳ"
1952,Nghệ An,Nghệ An,Xã Tiền Phong,"Xã Hạnh Dịch, Xã Tiền Phong"
1953,Nghệ An,Nghệ An,Xã Tri Lễ,"Xã Nậm Nhoóng, Xã Tri Lễ"
1954,Nghệ An,Nghệ An,Xã Trung Lộc,"Xã Nghi Long, Xã Nghi Quang, Xã Nghi Thuận, Xã Nghi Xá"
1955,Nghệ An,Nghệ An,Phường Trường Vinh,"Phường Bến Thủy, Phường Hưng Dũng, Phường Hưng Phúc, Phường Trung Đô, Phường Trường Thi, Phường Vinh Tân, Xã Hưng Hòa"
1956,Nghệ An,Nghệ An,Xã Tương Dương,"Thị trấn Thạch Giám, Xã Lưu Kiền, Xã Xá Lượng"
1957,Nghệ An,Nghệ An,Xã Vạn An,"Thị trấn Nam Đàn, Xã Thượng Tân Lộc, Xã Xuân Hòa"
1958,Nghệ An,Nghệ An,Xã Văn Hiến,"Xã Tân Sơn (huyện Đô Lương), Xã Hòa Sơn, Xã Quang Sơn, Xã Thái Sơn,
Xã Thượng Sơn"
1959,Nghệ An,Nghệ An,Xã Văn Kiều,"Xã Nghi Kiều, Xã Nghi Văn"
1960,Nghệ An,Nghệ An,Xã Vân Du,"Xã Minh Thành, Xã Tây Thành, Xã Thịnh Thành"
1961,Nghệ An,Nghệ An,Xã Vân Tụ,"Xã Liên Thành, Xã Mỹ Thành, Xã Vân Tụ"
1962,Nghệ An,Nghệ An,Xã Vinh Hưng,"Phường Hưng Đông, Phường Quán Bàu, Xã Nghi Kim, Xã Nghi Liên"
1963,Nghệ An,Nghệ An,Xã Vinh Lộc,"Phường Hưng Lộc, Xã Nghi Phong, Xã Nghi Thái, Xã Nghi Xuân, Xã Phúc
Thọ"
1964,Nghệ An,Nghệ An,Phường Vinh Phú,"Phường Hà Huy Tập, Phường Nghi Đức, Phường Nghi Phú, Xã Nghi Ân"
1965,Nghệ An,Nghệ An,Xã Vĩnh Tường,"Xã Hoa Sơn, Xã Hội Sơn, Xã Tường Sơn"
1966,Nghệ An,Nghệ An,Xã Xuân Lâm,"Xã Ngọc Sơn (huyện Thanh Chương), Xã Minh Tiến, Xã Xuân Dương"
1967,Nghệ An,Nghệ An,Xã Yên Hòa,"Xã Yên Thắng, Xã Yên Hòa"
1968,Nghệ An,Nghệ An,Xã Yên Na,"Xã Yên Tĩnh, Xã Yên Na"
1969,Nghệ An,Nghệ An,Xã Yên Thành,"Thị trấn Hoa Thành, Xã Đông Thành, Xã Tăng Thành, Xã Văn Thành"
1970,Nghệ An,Nghệ An,Xã Yên Trung,"Xã Hưng Yên Bắc, Xã Hưng Yên Nam, Xã Hưng Trung"
1971,Nghệ An,Nghệ An,Xã Yên Xuân,"Xã Cao Sơn, Xã Khai Sơn, Xã Lĩnh Sơn, Xã Long Sơn"
1972,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bắc Lý,"Xã Chân Lý, Xã Đạo Lý, Xã Bắc Lý"
1973,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bình An,"Xã Trung Lương, Xã Ngọc Lũ, Xã Bình An"
1974,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bình Giang,"Xã Bồ Đề, Xã Vũ Bản, Xã An Ninh"
1975,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bình Lục,"Xã Bình Nghĩa, Xã Tràng An, Xã Đồng Du"
1976,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bình Minh,"Thị trấn Bình Minh, Xã Cồn Thoi, Xã Kim Mỹ"
1977,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bình Mỹ,"Thị trấn Bình Mỹ, Xã Đồn Xá, Xã La Sơn"
1978,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Bình Sơn,"Xã Tiêu Động, Xã An Lão, Xã An Đổ"
1979,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Cát Thành,"Thị trấn Cát Thành, Xã Việt Hùng, Xã Trực Đạo"
1980,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Chất Bình,"Xã Xuân Chính, Xã Hồi Ninh, Xã Chất Bình"
1981,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Phường Châu Sơn,"Phường Thanh Tuyền, Phường Châu Sơn, Thị trấn Kiện Khê"
1982,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Cổ Lễ,"Thị trấn Cổ Lễ, Xã Trung Đông, Xã Trực Tuấn"
1983,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Cúc Phương,"Xã Văn Phương, Xã Cúc Phương"
1984,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Phường Duy Hà,"Phường Duy Minh, Phường Duy Hải, Phường Hoàng Đông"
1985,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Phường Duy Tân,"Phường Châu Giang, Xã Mộc Hoàn, Phường Hòa Mạc"
1986,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Duy Tiên,"Xã Chuyên Ngoại, Xã Trác Văn, Xã Yên Nam, Phường Hòa Mạc"
1987,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Đại Hoàng,"Xã Tiến Thắng (huyện Gia Viễn), Xã Gia Phương, Xã Gia Trung"
1988,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Định Hóa,"Xã Văn Hải, Xã Kim Tân, Xã Định Hóa"
1989,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Đông A,"Phường Lộc Hòa, Xã Mỹ Thắng, Xã Mỹ Hà"
1990,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Đông Hoa Lư,"Phường Ninh Phúc, Xã Khánh Hòa, Xã Khánh Phú, Xã Khánh An"
1991,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Đồng Thái,"Xã Yên Đồng (huyện Yên Mô), Xã Yên Thành, Xã Yên Thái"
1992,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Đồng Thịnh,"Xã Hoàng Nam, Xã Đồng Thịnh"
1993,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Phường Đồng Văn,"Phường Bạch Thượng, Phường Yên Bắc, Phường Đồng Văn"
1994,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Gia Hưng,"Xã Liên Sơn (huyện Gia Viễn), Xã Gia Phú, Xã Gia Hưng"
1995,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Gia Lâm,"Xã Gia Sơn, Xã Xích Thổ, Xã Gia Lâm"
1996,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Gia Phong,"Xã Gia Lạc, Xã Gia Minh, Xã Gia Phong"
1997,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Gia Trấn,"Xã Gia Thanh, Xã Gia Xuân, Xã Gia Trấn"
1998,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Gia Tường,"Xã Gia Thủy, Xã Đức Long, Xã Gia Tường"
1999,Ninh Bình,"Ninh Bình, Nam Định, Hà Nam",Xã Gia Vân,"Xã Gia Lập, Xã Gia Vân, Xã Gia Tân"
